TemplateId,Name,FuncType,Desc,FuncDesc,Icon,FuncIcon,Type,Class,MaxLevel,CanOpenManageOutTaiwu,Width,Color,BaseBuildCost,RemoveGetResourcePercent,MoveBuildCostResourceRate,CollectResourcePercent,BuildingCoreItem,DependBuildings,ExpandBuildings,RequireLifeSkillType,RequireCombatSkillType,RequirePersonalityType,LeaderName,MemberName,RecruitLifeSkillsAdjust,RecruitCombatSkillsAdjust,OperationTotalProgress,MaxDurability,BaseMaintenanceCost,BaseRepairCost,MustMaintenance,IsUnique,DestoryType,AddReadingLifeSkillBookEfficiency,ReduceCombatSkillCost,AddCombatSkillBreakout,AddLifeSkillAttainment,AddReadingLifeSkillBookFlash,CanMakeItem,UpgradeMakeItem,ReduceMakeRequirementLifeSkillType,VillagerRoleTemplateIds,IsShop,NeedLeader,NeedShopProgress,IsCollectResourceBuilding,ShowResourceStoreLocation,ShowItemStoreLocation,ShowItemLocationAsResourceLocation,MaxProduceValue,RequireCulture,RequireSafety,SuccesEvent,FailEvent,IdleEvent,SpecialEvent,MerchantId,ExpandInfos,EffectDesc,BelongOrganization,BuildingAreaLevelBack,BuildingAreaLevelInfoBackendPattern,ArtisanOrderAvailable,AvailableOnLoading,AvailableOrganization,ApprovingRate
0,空地,Other,空旷无人之地。,<color=#pinkyellow>可进行建设的平坦空地。</color>,,,Empty,Invalid,0,False,1,,[0; 0; 0; 0; 0; 0; 0; 0],0,-1,[0; 0; 0; 0; 0; 0; 0],-1,[],[],-1,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1],-1,[],-1,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,,,-1,[ui9_buildingarea_namebase_0_1; ui9_buildingarea_namebase_1_1],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,1,[],0
1,水域,Other,江河、湖泊、绿洲等水域。这些水草肥美的地区，渔业和运输都十分发达。,"<color=#pinkyellow>以「水精」为心材建造，亦可以此心材培育水域，增加其资源产能。
水域将为从属于此势力的所有人物依身份高低提供食材资源，并提高从属于此势力的农户迁移资源获得心材的成功率。</color>",SectSpecial/1_shuiyu,,NormalResource,BornResource,20,False,1,,[500; 0; 0; 0; 0; 0; 0; 0],100,50,[2; 0; 0; 0; 0; 0; 0],100,[],[24; 89; 125; 133; 217],14,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[0; 20; 33],水域将为从属于此势力的所有人物依身份高低提供食材资源，并提高此定居点影响范围内农户迁移资源获得心材的成功率。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
2,石山,Other,由岩石积成的山丘。石山的金石蕴藏十分丰富，自铜铁至金银，矿脉种类繁多，不一而足。,"<color=#pinkyellow>以「活石」为心材建造，亦可以此心材培育石山，增加其资源产能。
石山将为从属于此势力的所有人物依身份高低提供金铁资源与威望。</color>",SectSpecial/2_shihan,,NormalResource,BornResource,20,False,1,,[0; 0; 500; 0; 0; 0; 0; 0],100,50,[0; 0; 2; 0; 0; 0; 0],101,[],[25; 103; 135; 136; 183],6,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[1; 21; 34],石山将为从属于此势力的所有人物依身份高低提供金铁资源与威望。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
3,树林,Other,林地繁茂的地区。不仅日照充足，而且降雨均匀，多生长有品质优异的乔木。,"<color=#pinkyellow>以「青青苗木」为心材建造，亦可以此心材培育树林，增加其资源产能。
树林将为从属于此势力的所有人物依身份高低提供木材资源，并提高此定居点影响范围内农户主动采集时获得引子及神木种子的几率。</color>",SectSpecial/3_shulin,,NormalResource,BornResource,20,False,1,,[0; 500; 0; 0; 0; 0; 0; 0],100,50,[0; 2; 0; 0; 0; 0; 0],102,[],[26; 145; 146],7,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[2; 22; 35; 36],树林将为从属于此势力的所有人物依身份高低提供木材资源，并提高此定居点影响范围内农户主动采集时获得引子及神木种子的几率。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
4,孤峰,Other,独然而立的山峰。山峰高耸入云，直上重宵。山峰的四面都是悬崖峭壁，极其险峻。,"<color=#pinkyellow>以「古岩」为心材建造，亦可以此心材培育孤峰，增加其资源产能。
孤峰将为从属于此势力的所有人物依身份高低提供金铁、玉石资源，并提高其获得的志向资历。</color>",SectSpecial/4_gufeng,,NormalResource,BornResource,20,False,1,,[0; 0; 250; 250; 0; 0; 0; 0],100,50,[0; 0; 1; 1; 0; 0; 0],103,[],[27; 54; 117; 193],4,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[3; 23; 24; 37],孤峰将为从属于此势力的所有人物依身份高低提供金铁、玉石资源，并提高其获得的志向资历。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
5,草药,Other,气候适宜，水土灵秀之地。此地地形十分复杂，沟壑洞穴极多，适合各类名贵的草药生长。,"<color=#pinkyellow>以「百草药籽」为心材建造，亦可以此心材培育草药，增加其资源产能。
草药将为从属于此势力的所有人物依身份高低提供药材资源，并降低其健康损伤。</color>",SectSpecial/5_caoyao,,NormalResource,BornResource,20,False,1,,[0; 0; 0; 0; 0; 500; 0; 0],100,50,[0; 0; 0; 0; 0; 2; 0],104,[],[28; 155; 156; 200],8,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[4; 25; 38],草药将为从属于此势力的所有人物依身份高低提供药材资源，并降低其健康损伤。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
6,毒沼,Other,毒瘴笼罩，腐土淤积的低洼地区。毒沼中怪木丛生，多有蛇虫毒害从这里滋生。,"<color=#pinkyellow>以「腐泥」为心材建造，亦可以此心材培育毒沼，增加其资源产能。
毒沼将为从属于此势力的所有人物依身份高低提供药材资源，同时此定居点影响范围内的人物在月份更替时将获得历练。</color>",SectSpecial/6_duzhao,,NormalResource,BornResource,20,False,1,,[0; 0; 0; 0; 0; 500; 0; 0],100,50,[0; 0; 0; 0; 0; 0; 2],105,[],[29; 143; 165; 166],9,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[5; 26; 39],毒沼将为从属于此势力的所有人物依身份高低提供药材资源，同时此定居点影响范围内的人物在月份更替时将获得历练。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
7,花谷,Other,所谓：四季花满蹊，浓淡总相宜。花谷之中气候温和，灌木丛生，鲜花种类异常丰富。,"<color=#pinkyellow>以「野卉花籽」为心材建造，亦可以此心材培育花谷，增加其资源产能。
花谷将为从属于此势力的所有人物依身份高低提供织物资源，并提高其与他人的好感增加量，降低好感减少量。</color>",SectSpecial/7_huagu,,NormalResource,BornResource,20,False,1,,[0; 0; 0; 0; 500; 0; 0; 0],100,50,[0; 0; 0; 0; 2; 0; 0],106,[],[30; 110; 175; 176; 220],10,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[6; 27; 40; 41],花谷将为从属于此势力的所有人物依身份高低提供织物资源，并提高其与他人的好感增加量，降低好感减少量。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
8,宝石,Other,蕴藏着珍稀的有色宝石和美玉的矿床。宝石晶莹剔透，光彩灿烂，乃是土地的瑰宝精魂。,"<color=#pinkyellow>以「璞玉」为心材建造，亦可以此心材培育宝石，增加其资源产能。
宝石将为从属于此势力的所有人物依身份高低提供玉石资源与银钱。</color>",SectSpecial/8_baoshi,,NormalResource,BornResource,20,False,1,,[0; 0; 0; 500; 0; 0; 0; 0],100,50,[0; 0; 0; 2; 0; 0; 0],107,[],[31; 96; 173; 185; 186],11,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[7; 28; 42],宝石将为从属于此势力的所有人物依身份高低提供玉石资源与银钱。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
9,沃野,Other,适合果树与农作物生长的肥沃土地。沃野易于开发，水源与光照充足，物产十分丰富。,"<color=#pinkyellow>以「沃土」为心材建造，亦可以此心材培育沃野，增加其资源产能。
沃野将为从属于此势力的所有人物依身份高低提供食材、木材资源，并提高此定居点影响范围内地格的资源恢复量。</color>",SectSpecial/9_woye,,NormalResource,BornResource,20,False,1,,[250; 250; 0; 0; 0; 0; 0; 0],100,50,[1; 1; 0; 0; 0; 0; 0],108,[],[32; 127; 128; 209; 210],14,-1,-1,,,[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[-1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1; -1],[750; 250],5,[],50,False,False,-1,-1,-1,-1,-1,-1,False,False,-1,,False,False,False,False,False,False,False,-1,0,0,[],[],-1,[],-1,[8; 29; 30; 43],沃野将为从属于此势力的所有人物依身份高低提供食材、木材资源，并提高此定居点影响范围内地格的资源恢复量。,-1,[ui9_buildingarea_namebase_0_2; ui9_buildingarea_namebase_1_2],[buildingarea_industry_icon_7; buildingarea_industry_base_7],False,0,[],0
