timestamp,eventGuid,eventContent,mainCharacterId,targetCharacterId,optionsCount,optionKeys,optionContents,optionTypes,optionStates,behaviors
2026-06-23 23:19:19.972,f52b9fe9-d0bf-4739-916e-019501497e43,破冢而出的“异人”杀至太吾白身前，\n口中仍不断低吼着：“太吾……杀……杀……杀！”，\n果不其然，此人正是为了寻找“太吾”而来！,-1,-1,1,Option_-638887922, 阁下为了寻我，一路残害无辜，究竟与我……与“太吾”有何怨仇！？,-1,0,0
2026-06-23 23:19:23.251,6f04ba4f-baee-4826-8f1c-ad84a97d0865,“怨……仇……”\n“异人”目光黯淡，缓缓摇头道，\n话音未落，已然飞身上前，直取太吾白心口！,-1,-1,1,Option_-1032640693, 不好！（奋力抵挡！）,-1,0,0
2026-06-23 23:20:35.624,6f9e7824-c800-4578-936e-cb48c078e047,太吾白被那“异人”击中要害，倒在了一片血泊之中……\n那“异人”见太吾白气息将绝，\n却反而缓缓地叹了口气……,-1,-1,1,Option_-609002123, 呃……啊……,-1,0,0
2026-06-23 23:20:37.794,19ec588f-7112-4acf-b8be-d51003afe80c,太吾白性命垂危，已然回天乏术……\n其胸中不断变得空荡，其手足不断变得沉重，\n那些曾与义父一同在谷中生活的景象也不断在其眼前浮现……,-1,-1,1,Option_-1569765429, 义……父……看来……孩儿……等不到你了……,-1,0,0
2026-06-23 23:20:40.186,692c8d06-caeb-403a-8775-7c950f9aa2bd,就在此时！\n一道灰影突然自太吾白身后百丈之外腾空而来——,-1,-1,1,Option_-1667648190, （……）,-1,0,0
2026-06-23 23:21:00.863,fb635823-e83a-4898-b837-36cf01a21111,一具木人扑倒在地，\n直直落在太吾白面前，\n那木人虽以脸抢地，但顶有灵符，梧桐化身，直似神仙下凡！,-1,-1,1,Option_-1686848515, 徐……徐……仙公……,-1,0,0
2026-06-23 23:21:03.818,20d048ff-dbcb-4c29-aca8-01a9f8f204bd,“倒霉！倒霉！\n你这老儿，困了老夫数百年，还不死心！\n又将老夫抓了来为这小娃娃送死！老夫早知你不会就此罢休！”\n徐仙公歪歪倒倒地爬起身来，口中喋喋自语，咒骂不休……,-1,-1,1,Option_875800689, （气力将竭，动弹不得……）,-1,0,0
2026-06-23 23:21:08.408,f9861876-cd98-4760-9d19-5a481bb73cf8,徐仙公边骂边伸出木爪，\n一瞬之间便已点了太吾白身上的数十个大穴，\n太吾白只觉得身上更加冰冷，但心口却升起了一团氤氲之气，竟有丝丝暖意！\n心脉不绝，便有一丝生机！,-1,-1,1,Option_500667052, 仙公……我……,-1,0,0
2026-06-23 23:21:11.673,8dc0181f-f6bb-4da7-8592-542462e61f13,“什么妖魔不好惹，\n你们偏生要与这‘相枢’为难，唉！唉！唉！”\n徐仙公边叹边骂，却并不停留，只一转身，便与那“异人”斗在了一起……,-1,-1,1,Option_-1012382677, ……异人？相枢？（昏死过去……）,-1,0,0
2026-06-23 23:21:19.136,c7df3afb-525e-4407-a97c-f87cc67f56a6,神不歇而气自流……\n\n太吾白再次睁开双眼之时，耳边只剩下了自己的呼吸声，\n逞凶的“异人”不知去向，而散落一地的木块却很快地映入了太吾白的眼帘——\n四周竟满是徐仙公的残骸……,-1,-1,1,Option_1125287216, （……）,-1,0,0
